Jahr,Geburten,Gestorbene,Zuwachs
1970,112301,98819,13482
1971,108510,97334,11176
1972,104033,95323,8710
1973,98041,92768,5273
1974,97430,94324,3106
1975,93757,96041,-2284
1976,87446,95140,-7694
1977,85595,92402,-6807
1978,85402,94617,-9215
1979,86388,92012,-5624
1980,90872,92442,-1570
1981,93942,92693,1249
1982,94840,91339,3501
1983,90118,93041,-2923
1984,89234,88466,768
1985,87440,89578,-2138
1986,86964,87071,-107
1987,86503,84907,1596
1988,88052,83263,4789
1989,88759,83407,5352
1990,90454,82952,7502
1991,94629,83428,11201
1992,95302,83162,12140
1993,95227,82517,12710
1994,92415,80684,11731
1995,88669,81171,7498
1996,88809,80790,8019
1997,84045,79432,4613
1998,81233,78339,2894
1999,78138,78200,-62
2000,78268,76780,1488
2001,75458,74767,691
2002,78399,76131,2268
2003,76944,77209,-265
2004,78968,74292,4676
2005,78190,75189,3001
2006,77914,74295,3619
2007,76250,74625,1625
2008,77752,75083,2669
2009,76344,77381,-1037
2010,78742,77199,1543
2011,78109,76479,1630
2012,78952,79436,-484
2013,79330,79526,-196
2014,81722,78252,3470
